protein	log2FC	p-val
sp|P0A6E6|ATPE_ECOLI	-0.699	9.072e-05
sp|P0AEQ6|GLNP_ECOLI	-0.065	0.782
sp|P13024|FDHE_ECOLI	0.027	0.676
sp|P0A9X4|MREB_ECOLI	0.022	0.567
sp|P31460|DGOR_ECOLI	0.204	0.07
sp|P75913|GHRA_ECOLI	0.319	0.000782
sp|P69441|KAD_ECOLI	-0.312	0.0002475
sp|P33920|NDPA_ECOLI	-0.053	0.668
sp|P04968|ILVA_ECOLI	-0.289	0.007
sp|P0A9W6|IBAG_ECOLI	1.057	0.0008784
sp|P0A7A9|IPYR_ECOLI	-0.161	0.043
sp|P0AEX9|MALE_ECOLI	-0.091	0.007
sp|P23845|CYSN_ECOLI	-0.386	0.002
sp|P10908|UGPQ_ECOLI	-0.098	0.922
sp|P69874|POTA_ECOLI	0.071	0.601
sp|P31060|MODF_ECOLI	-0.04	0.393
sp|P0AD10|YECJ_ECOLI	-0.449	0.085
sp|P0AFZ3|SSPB_ECOLI	-0.264	0.163
sp|P27249|GLND_ECOLI	0.069	0.486
sp|P0AC51|ZUR_ECOLI	0.463	0.06
sp|P0AG99|SECG_ECOLI	0.295	0.034
sp|P39310|YTFB_ECOLI	-0.549	0.321
sp|P27302|TKT1_ECOLI	-0.932	0.0
sp|P0AEX3|KGTP_ECOLI	0.249	0.045
sp|P0AC81|LGUL_ECOLI	-0.062	0.869
sp|P0ADA3|NLPD_ECOLI	0.027	0.799
sp|P68699|ATPL_ECOLI	-0.163	0.661
sp|P0ADX1|YHFA_ECOLI	0.364	0.097
sp|P02359|RS7_ECOLI	-0.24	0.003
sp|P62615|ISPE_ECOLI	-0.001	0.967
sp|P0ABU5|ELBB_ECOLI	-0.12	0.568
sp|P0AEE5|DGAL_ECOLI	1.626	0.0
sp|P60390|RSMH_ECOLI	-0.007	0.537
sp|P41407|AZOR_ECOLI	-1.271	4.231e-12
sp|P05458|PTRA_ECOLI	0.648	9.686e-09
sp|P09151|LEU1_ECOLI	0.889	0.0
sp|P69451|LCFA_ECOLI	0.125	0.203
sp|P0AG00|WZZE_ECOLI	-1.133	0.001
sp|P37005|LAST_ECOLI	0.363	0.039
sp|P33232|LLDD_ECOLI	0.203	0.005
sp|P0A9T8|YBBA_ECOLI	0.59	0.001
sp|P00894|ILVH_ECOLI	0.592	8.366e-10
sp|P10100|RLPA_ECOLI	0.31	0.011
sp|P0A8F4|URK_ECOLI	-0.161	0.31
sp|P46130|YBHC_ECOLI	-0.253	0.027
sp|P36683|ACNB_ECOLI	-0.192	0.005
sp|P08660|AK3_ECOLI	0.714	1.554e-13
sp|P0AFL6|PPX_ECOLI	-0.414	0.2
sp|P0A6Y8|DNAK_ECOLI	-0.382	9.372e-12
sp|P22333|ADD_ECOLI	1.716	0.0
sp|P07014|SDHB_ECOLI	-0.434	3.499e-05
sp|P76149|SAD_ECOLI	0.132	0.852
sp|P0A9N4|PFLA_ECOLI	0.228	0.166
sp|P19934|TOLA_ECOLI	0.971	0.008
sp|P04036|DAPB_ECOLI	0.339	1.19e-05
sp|P26281|HPPK_ECOLI	0.259	0.211
sp|P77488|DXS_ECOLI	-0.125	0.415
sp|P0A9Q5|ACCD_ECOLI	0.096	0.216
sp|P0AG90|SECD_ECOLI	-0.069	0.348
sp|P23522|GARL_ECOLI	0.515	0.012
sp|P0A821|SELA_ECOLI	-0.451	0.009
sp|P0A8A2|YEEN_ECOLI	-0.284	0.097
sp|P0AEW6|INGK_ECOLI	-0.29	0.075
sp|P42641|OBG_ECOLI	0.151	0.45
sp|P0A910|OMPA_ECOLI	0.043	0.023
sp|P77247|HXPB_ECOLI	-0.696	3.276e-05
sp|P37902|GLTI_ECOLI	0.006	0.571
sp|P76177|YDGH_ECOLI	0.272	0.0001839
sp|P76658|HLDE_ECOLI	0.086	0.451
sp|P25552|GPPA_ECOLI	0.124	0.504
sp|P77554|YAHJ_ECOLI	0.518	0.021
sp|P37349|DHAM_ECOLI	0.418	0.006
sp|P09372|GRPE_ECOLI	-0.312	0.008
sp|P0A6C5|ARGA_ECOLI	-0.281	0.067
sp|P23200|MGLC_ECOLI	1.88	8.621e-06
sp|P69811|PTFAH_ECOLI	0.94	1.541e-05
sp|P0ADX7|YHHA_ECOLI	1.604	5.024e-12
sp|P0ACD4|ISCU_ECOLI	0.255	6.993e-05
sp|P0AEU7|SKP_ECOLI	0.601	6.818e-06
sp|P0AFP6|GCH1L_ECOLI	0.241	0.008
sp|P37648|YHJJ_ECOLI	0.559	0.0006401
sp|P0A722|LPXA_ECOLI	0.363	0.005
sp|P0ACA1|YIBF_ECOLI	0.348	0.019
sp|P06987|HIS7_ECOLI	0.261	0.016
sp|P31678|OTSB_ECOLI	0.936	1.532e-06
sp|P00861|DCDA_ECOLI	-0.179	0.097
sp|P11880|MURF_ECOLI	0.083	0.682
sp|P39377|IADA_ECOLI	-0.306	0.071
sp|P0A9B2|G3P1_ECOLI	-0.03	0.541
sp|P28635|METQ_ECOLI	0.375	8.047e-07
sp|P10121|FTSY_ECOLI	-0.294	0.0001233
sp|P77434|ALAC_ECOLI	0.198	0.156
sp|P18133|PNCB_ECOLI	0.121	0.021
sp|P0A953|FABB_ECOLI	0.088	0.734
sp|P0ACU7|YJDC_ECOLI	0.739	6.322e-06
sp|P25519|HFLX_ECOLI	0.129	0.214
sp|P77213|GCS2_ECOLI	1.041	5.739e-05
sp|P37615|YHHM_ECOLI	0.654	0.005
sp|P32162|YIIS_ECOLI	0.922	0.0002796
sp|P0AEW9|K1PF_ECOLI	1.022	6.483e-06
sp|P23865|PRC_ECOLI	0.051	0.268
sp|P0A7F6|SPED_ECOLI	-0.131	0.218
sp|P0ABA0|ATPF_ECOLI	-0.411	0.001
sp|P63228|GMHBB_ECOLI	0.375	0.071
sp|P64564|YGGT_ECOLI	-0.275	0.216
sp|P76329|MPGP_ECOLI	2.139	5.626e-06
sp|P39838|RCSD_ECOLI	0.297	0.061
sp|P37645|YHJG_ECOLI	1.01	1.572e-08
sp|P0A951|ATDA_ECOLI	-0.495	0.202
sp|P0A9F1|MNTR_ECOLI	-1.223	1.513e-05
sp|P63389|YHES_ECOLI	-0.359	0.006
sp|P36979|RLMN_ECOLI	-0.869	8.808e-10
sp|P02358|RS6_ECOLI	-0.234	0.314
sp|P0AEC3|ARCB_ECOLI	-0.178	0.104
sp|P0AEY5|MDAB_ECOLI	-0.753	6.526e-06
sp|P76539|YPEA_ECOLI	-0.666	0.003
sp|P77581|ASTC_ECOLI	-0.481	0.0001043
sp|P0A8I3|YAAA_ECOLI	-0.112	0.235
sp|P76097|YDCJ_ECOLI	0.41	1.26e-05
sp|P03841|MALM_ECOLI	-0.004	0.521
sp|P76402|YEGP_ECOLI	1.173	3.511e-06
sp|P0A7X6|RIMM_ECOLI	-0.484	0.012
sp|P76341|HIUH_ECOLI	0.692	0.002
sp|P0AAB6|GALF_ECOLI	-0.307	0.0002174
sp|P0A862|TPX_ECOLI	0.574	1.866e-06
sp|P06710|DPO3X_ECOLI	-0.064	0.165
sp|P64463|YDFZ_ECOLI	0.735	0.007
sp|P76143|LSRF_ECOLI	-0.3	0.035
sp|P09148|GAL7_ECOLI	3.372	0.0
sp|P24255|RP54_ECOLI	0.024	0.963
sp|P0AF12|MTNN_ECOLI	0.205	0.045
sp|P31069|KCH_ECOLI	0.361	0.25
sp|P21179|CATE_ECOLI	0.837	0.0
sp|P0AD33|YFCZ_ECOLI	0.161	0.024
sp|Q59385|COPA_ECOLI	0.199	0.002
sp|P76145|TAM_ECOLI	0.316	0.01
sp|P08142|ILVB_ECOLI	-0.619	3.018e-08
sp|P76015|DHAK_ECOLI	0.659	2.015e-09
sp|P75849|GLO22_ECOLI	-0.145	0.405
sp|P0A6L2|DAPA_ECOLI	-0.128	0.082
sp|P0AGB6|RPOE_ECOLI	0.77	0.003
sp|P0A6V8|GLK_ECOLI	0.725	1.292e-08
sp|P0C8J6|GATY_ECOLI	-0.139	0.377
sp|P0A894|RAPZ_ECOLI	0.159	0.353
sp|P0C960|EMTA_ECOLI	-0.592	0.055
sp|P27306|STHA_ECOLI	-0.466	9.773e-07
sp|P0A6Z6|NIKR_ECOLI	0.569	0.033
sp|P77737|OPPF_ECOLI	-0.546	0.003
sp|P61949|FLAV_ECOLI	0.198	0.029
sp|P37329|MODA_ECOLI	-0.313	0.032
sp|P76558|MAO2_ECOLI	-0.403	4e-11
sp|P0AGE9|SUCD_ECOLI	-0.473	6.608e-11
sp|P77739|YNIA_ECOLI	0.758	3.346e-05
sp|P0AAB8|USPD_ECOLI	1.09	6.22e-05
sp|P00946|MANA_ECOLI	-0.585	1.585e-09
sp|P0A6P7|ENGB_ECOLI	0.237	0.196
sp|P05793|ILVC_ECOLI	-0.173	0.002
sp|P30750|METN_ECOLI	0.514	3.658e-05
sp|P0ACK2|AGAR_ECOLI	0.602	0.0004932
sp|P37330|MASZ_ECOLI	0.413	3.503e-08
sp|P45464|LPOA_ECOLI	-0.04	0.884
sp|P09373|PFLB_ECOLI	-0.069	0.299
sp|P0AAF6|ARTP_ECOLI	0.343	0.53
