protein	log2FC	p-val
sp|P30125|LEU3_ECOLI	1.486	0.0
sp|P60651|SPEB_ECOLI	0.1	0.22
sp|P0ADP9|YIHD_ECOLI	0.105	0.504
sp|P76097|YDCJ_ECOLI	1.349	2.759e-09
sp|P02925|RBSB_ECOLI	-0.572	3.707e-11
sp|P22333|ADD_ECOLI	0.364	0.481
sp|P77171|YDCI_ECOLI	-0.035	0.658
sp|P0AFB1|NLPI_ECOLI	0.073	0.703
sp|P31057|PANB_ECOLI	0.739	0.0004116
sp|P31678|OTSB_ECOLI	0.826	0.0002058
sp|P77717|YBAY_ECOLI	1.192	0.003
sp|P25526|GABD_ECOLI	0.098	0.266
sp|P0AB89|PUR8_ECOLI	-0.418	1.242e-06
sp|P23909|MUTS_ECOLI	-0.24	0.051
sp|P0ABH0|FTSA_ECOLI	-0.049	0.631
sp|P0AC13|DHPS_ECOLI	-0.03	0.23
sp|P32664|NUDC_ECOLI	0.224	0.33
sp|P32173|MOBA_ECOLI	-0.51	0.024
sp|P0ABA0|ATPF_ECOLI	-0.769	7.521e-09
sp|P0ABB0|ATPA_ECOLI	-0.604	4.441e-16
sp|P06149|DLD_ECOLI	0.273	0.0005869
sp|P77213|GCS2_ECOLI	0.576	0.012
sp|P31063|YEDD_ECOLI	0.107	0.467
sp|P0C0V0|DEGP_ECOLI	-1.818	0.0
sp|P0A821|SELA_ECOLI	-0.633	2.762e-05
sp|P0A901|BLC_ECOLI	0.079	0.995
sp|P76145|TAM_ECOLI	0.824	0.006
sp|P0AAS7|YBCJ_ECOLI	-0.314	0.044
sp|P76038|PUUD_ECOLI	0.222	0.664
sp|P00547|KHSE_ECOLI	-1.473	3.175e-14
sp|P16676|CYSA_ECOLI	-0.293	0.013
sp|P0AEN1|FRE_ECOLI	0.284	0.024
sp|P0A8X0|YJGA_ECOLI	0.699	2.751e-05
sp|P09546|PUTA_ECOLI	0.358	0.018
sp|P02930|TOLC_ECOLI	0.058	0.851
sp|P0A9T8|YBBA_ECOLI	0.212	0.224
sp|P0AFK9|POTD_ECOLI	-0.119	0.12
sp|P15005|MCRB_ECOLI	0.283	0.601
sp|P52647|NIFJ_ECOLI	0.396	0.002
sp|P0A8V2|RPOB_ECOLI	-0.152	0.0004758
sp|P23839|YICC_ECOLI	-0.189	0.228
sp|P69783|PTGA_ECOLI	0.128	0.146
sp|P29018|CYDD_ECOLI	-0.107	0.139
sp|P0ADA1|TESA_ECOLI	-0.236	0.222
sp|P0A812|RUVB_ECOLI	0.083	0.308
sp|P0ADE6|KBP_ECOLI	0.826	5.05e-11
sp|P0A915|OMPW_ECOLI	0.961	0.0007853
sp|P0AFX9|RSEB_ECOLI	0.659	0.03
sp|P0AFB5|NTRB_ECOLI	0.747	0.126
sp|P0AGE4|SSTT_ECOLI	0.684	0.021
sp|P24230|RECG_ECOLI	-0.595	0.055
sp|P23908|ARGE_ECOLI	-0.309	0.008
sp|P0ABS8|HOLE_ECOLI	-0.483	0.041
sp|P0A6P9|ENO_ECOLI	0.293	0.0001073
sp|P0A8Y3|YIHX_ECOLI	-0.509	0.101
sp|P0A905|SLYB_ECOLI	0.291	0.034
sp|P0AD33|YFCZ_ECOLI	-0.05	0.74
sp|P0ADY3|RL14_ECOLI	-0.104	0.606
sp|P0A8N0|MATP_ECOLI	0.463	0.164
sp|P0AD27|YEJM_ECOLI	-0.635	0.081
sp|P37634|RLMJ_ECOLI	-0.028	0.646
sp|P0AE01|TRMJ_ECOLI	0.005	0.503
sp|P60906|SYH_ECOLI	-0.008	0.825
sp|P75959|NAGK_ECOLI	-1.049	6.155e-05
sp|P39356|YJHU_ECOLI	0.678	0.057
sp|P0A786|PYRB_ECOLI	0.374	1.318e-05
sp|P0A9J0|RNG_ECOLI	-0.264	0.016
sp|P40120|OPGD_ECOLI	-0.645	1.916e-06
sp|P05791|ILVD_ECOLI	-1.067	0.0
sp|P08506|DACC_ECOLI	-0.465	9.934e-09
