protein	log2FC	p-val
P52647	0.6	1.017e-06
P0AG01	0.489	0.018
B7LTY8	-0.03	0.872
P0A9L7	-0.011	0.839
B1IU77	-0.461	5.966e-06
P27431	0.535	0.013
P13036	0.643	4.731e-06
Q1RBE3	-0.182	0.355
P0AD62	0.132	0.545
P0A9U5	-0.219	0.057
P0ADK2	0.558	0.001
B7LN61	-0.19	0.144
P0AEX5	0.782	0.003
P0A440	0.239	0.353
B7LRS9	0.124	0.615
B7NM68	0.046	0.401
P23305	-0.311	0.275
Q8FK44	0.251	0.131
Q1RE59	2.194	1.433e-07
P06987	-0.141	0.608
B7LW30	0.365	0.002
Q1RBF5	0.468	0.162
P61887	0.383	0.335
P31545	-0.637	0.003
P23830	-0.292	0.016
P00957	-0.009	0.42
Q8FB22	-0.079	0.445
Q8X826	-0.192	0.253
Q1R4Y7	0.369	0.004
Q47622	0.605	0.094
P0A949	0.377	0.2
P43329	0.04	0.842
Q0T9N1	-0.336	0.144
P0ABE3	3.421	1.625e-09
P0AAI3	-0.447	0.0001379
P0AFY0	0.114	0.578
Q0TEV5	-0.725	2.675e-09
P02925	1.664	0.0
P76223	0.265	0.355
P0A911	0.788	2.433e-06
P35340	-0.395	0.005
P0A8N4	-1.687	0.0
P0AB72	0.349	0.005
B7LMH2	0.211	0.105
B7LMR7	0.092	0.718
B1IYW7	-0.134	0.043
B7LVL1	-0.068	0.758
P0A6F2	-0.288	0.022
P77781	-0.763	0.11
P42217	-0.809	0.051
P58070	-0.789	0.131
P26616	-0.066	0.571
P77808	0.038	0.618
B7M7R5	-0.185	0.012
P0AC54	-0.004	0.777
P23256	0.476	0.266
Q8XCB3	-0.115	0.106
B1LJ30	-0.369	0.018
Q8VWE6	-0.382	0.259
P22939	0.232	0.347
P38489	-0.296	0.091
Q8FFV3	1.066	7.936e-05
P0AGF1	-0.389	0.048
P23538	0.15	0.168
Q9XCW3	-0.212	0.456
P77739	4.543	4.441e-16
P0AB26	-0.182	0.712
B7M6N5	0.357	0.318
B7LVJ8	-0.907	0.123
P0AB24	0.663	1.337e-07
Q8X8V9	0.365	0.0004228
P0ACD6	-0.325	0.059
P0AFU5	-0.006	0.816
P09996	1.038	0.003
P0AFW8	1.107	2.433e-06
P09029	-0.129	0.641
P0A9S8	-0.208	0.304
P0AFK9	0.341	0.012
P18393	1.853	3.305e-06
Q8FL94	0.178	0.427
A7ZM66	0.523	0.387
P0A7A3	-0.481	0.139
P00550	2.361	0.0
B7LUL7	0.46	0.002
B1IQV0	-0.239	0.004
B1IS25	-0.284	0.612
P63179	0.012	0.898
P0AD60	0.537	0.057
P0AC21	-0.361	0.29
P75821	0.213	0.65
P77499	1.32	0.0005281
P02930	0.153	0.364
P33355	0.125	0.429
P0AAH9	-0.354	0.27
Q8XEH9	-0.396	0.074
B7LKC0	-0.136	0.475
P23882	0.217	0.338
B7LRR3	-0.151	0.23
Q0TAD8	1.627	0.0
Q8X612	-0.415	0.147
P0AB92	-0.318	0.004
P65368	0.375	0.153
P16703	-0.582	0.0001587
P09373	0.513	5.774e-09
P76558	0.409	0.003
P33363	0.085	0.406
P0ACA5	-0.178	0.102
P28861	-0.246	0.636
P0ACV4	0.269	0.39
P23930	0.302	0.169
Q8X4S5	0.114	0.568
P75818	2.881	9.211e-11
P08192	-0.194	0.209
P39831	-0.222	0.297
P24171	0.047	0.739
P08200	0.188	0.078
Q8FB90	-0.201	0.639
P00582	0.268	0.018
Q1R6C9	0.03	0.504
P0AC14	0.218	0.148
P0ABS6	0.116	0.843
P15770	0.613	0.029
P31069	-0.043	0.739
P75796	-0.033	0.57
P43671	0.496	0.055
P0ADC5	-0.318	0.184
P0ABJ2	0.18	0.361
Q8FE27	0.148	0.675
P32157	1.112	0.002
P0AFU8	-0.004	0.977
Q8XDE8	-1.53	0.002
P16456	0.45	0.002
P76149	0.171	0.498
P20966	1.178	0.046
Q1R637	-0.028	0.274
B7LUL9	0.313	0.233
P0AFJ3	0.343	0.107
P0ADF7	-0.028	0.738
P65296	0.875	0.055
P37177	0.173	0.502
Q8FKE3	-0.212	0.169
P64625	-0.028	0.719
P0AG32	0.143	0.257
B1ITG7	-0.12	0.05
P76576	-0.075	0.451
P0AB30	-0.543	0.001
P0ADY2	0.139	0.209
P0A9F2	-0.47	0.052
P76034	-0.167	0.587
P0AF19	0.805	2.685e-05
P40120	-0.032	0.68
B7LX92	-0.034	0.587
P05458	0.107	0.482
Q8FL24	0.104	0.578
P37128	-0.039	0.694
P0AEK2	0.045	0.904
P64541	-0.003	0.801
Q8FJK5	-1.006	3.002e-06
P0ACL0	-0.464	0.04
P76561	1.007	0.004
P40874	-0.114	0.228
P05793	-0.485	1.345e-09
P0AFP8	0.323	0.05
P25535	0.003	0.927
P37692	-0.071	0.879
P0ACG2	0.399	0.046
B7LWB7	0.584	0.0002787
P0AEU2	0.562	1.692e-07
P37329	0.281	0.407
P06610	0.541	0.005
P0AAF8	0.372	0.212
P0AE93	0.41	0.227
P0ABU5	0.27	0.073
P30859	0.302	0.005
P30749	0.649	0.07
P22731	-0.191	0.553
P14081	-0.198	0.613
Q8FEE5	-0.072	0.567
P0ACZ1	-1.353	0.002
P33570	1.829	0.002
Q8XCJ9	-0.169	0.437
P0A706	-0.08	0.193
P0AE47	0.087	0.579
P31134	-0.149	0.466
P0A9G7	3.573	0.0
B7LWB1	0.473	0.002
P23917	0.396	0.104
Q8FCB7	1.353	2.1e-07
P58237	0.084	0.437
B7LPI4	-0.504	0.016
P0AED2	1.288	9.804e-10
B7LUS2	0.007	0.842
Q8FCB6	4.297	3.308e-11
B7LJQ3	-0.978	0.0003064
P65765	0.531	0.0001155
P0A922	0.103	0.795
P36649	-0.707	5.191e-06
P0AF30	0.379	0.085
B7LPC4	0.379	0.176
P0AC51	0.515	0.183
Q8FIM7	-0.132	0.217
A8A765	-0.126	0.098
Q1REF1	0.495	0.101
P0A9C7	-0.107	0.14
P77395	-0.263	0.117
P09126	0.314	0.915
P0AF71	0.256	0.339
P23886	0.178	0.763
