protein	log2FC	p-val
sp|P30177|YBIB_ECOLI	-0.002	0.08
sp|P30859|ARTI_ECOLI	1.189	2.22e-16
sp|P36938|PGM_ECOLI	0.198	0.048
sp|P33232|LLDD_ECOLI	0.882	1.744e-12
sp|P0AAI3|FTSH_ECOLI	0.0002269	0.989
sp|P08956|T1RK_ECOLI	0.934	0.0001204
sp|P18956|GGT_ECOLI	1.191	0.0
sp|P0AD61|KPYK1_ECOLI	-0.861	0.0
sp|P0A7I0|RF1_ECOLI	0.141	0.598
sp|P0AED5|UVRY_ECOLI	-0.39	0.04
sp|P0A7B8|HSLV_ECOLI	0.186	0.52
sp|P24186|FOLD_ECOLI	-0.054	0.486
sp|P45800|IGAA_ECOLI	0.329	0.142
sp|P18843|NADE_ECOLI	-0.369	1.437e-07
sp|P0ACB2|HEM2_ECOLI	-0.493	5.008e-06
sp|P06968|DUT_ECOLI	0.282	0.116
sp|P0AAV4|PXPB_ECOLI	0.698	0.106
sp|P09053|AVTA_ECOLI	0.213	0.101
sp|P76372|WZZB_ECOLI	-0.034	0.663
sp|P76558|MAO2_ECOLI	1.164	0.0
sp|P76113|CURA_ECOLI	0.631	3.879e-08
sp|P0A6H8|CLSA_ECOLI	-0.372	0.084
sp|P0A6A6|LEUC_ECOLI	0.558	5.149e-10
sp|P39160|UXUB_ECOLI	1.658	2.29e-08
sp|P0ACJ0|LRP_ECOLI	-0.037	0.584
sp|P66948|BEPA_ECOLI	0.035	0.92
sp|P0AE08|AHPC_ECOLI	0.049	0.87
sp|P0AFK0|PMBA_ECOLI	0.145	0.114
sp|P45464|LPOA_ECOLI	0.334	0.0002666
sp|P60422|RL2_ECOLI	-0.042	0.709
sp|P27249|GLND_ECOLI	-0.317	0.222
sp|P37329|MODA_ECOLI	1.679	0.0
sp|P76506|MLAA_ECOLI	0.126	0.476
sp|P45395|KDSD_ECOLI	0.309	0.066
sp|P0AG86|SECB_ECOLI	0.317	0.026
sp|P39831|YDFG_ECOLI	0.278	0.025
sp|P22939|ISPA_ECOLI	0.136	0.648
sp|P0ABS8|HOLE_ECOLI	0.501	0.13
sp|P19926|AGP_ECOLI	1.854	0.0
sp|P46118|HEXR_ECOLI	0.491	0.039
sp|P21889|SYD_ECOLI	-0.277	7.51e-06
sp|Q46871|YQJH_ECOLI	-0.166	0.635
sp|P77695|GNSB_ECOLI	0.059	0.428
sp|P04846|NLPA_ECOLI	0.004	0.593
sp|P0AG63|RS17_ECOLI	-0.413	0.009
sp|P0ABQ4|DYR_ECOLI	1.166	1.118e-05
sp|P42588|PAT_ECOLI	0.226	0.246
sp|P0A9H5|BTUR_ECOLI	0.356	0.014
sp|P77202|DSBG_ECOLI	0.532	0.002
sp|P06149|DLD_ECOLI	0.036	0.034
sp|P77150|PDXY_ECOLI	-0.989	0.0001668
sp|P0AC02|BAMD_ECOLI	0.249	0.03
sp|P10902|NADB_ECOLI	-0.459	0.037
sp|P0ADV5|YHBW_ECOLI	0.451	0.009
sp|P0A8A4|PSRP_ECOLI	0.118	0.17
sp|P0AFB1|NLPI_ECOLI	0.462	0.003
sp|P00936|CYAA_ECOLI	-0.032	0.962
sp|P00960|SYGA_ECOLI	-0.051	0.825
sp|P0AAG8|MGLA_ECOLI	1.734	0.0
sp|P77213|GCS2_ECOLI	0.589	0.018
sp|P03023|LACI_ECOLI	-0.967	0.0001937
sp|P52007|YECM_ECOLI	-0.706	4.702e-06
sp|P68206|YJBJ_ECOLI	0.999	0.128
