protein	log2FC	p-val
sp|P75780|FIU_ECOLI	-0.747	2.772e-05
sp|P0ABP8|DEOD_ECOLI	0.744	1.505e-08
sp|P0A8A2|YEEN_ECOLI	-0.885	2.558e-10
sp|P76270|MSRC_ECOLI	0.141	0.674
sp|P76014|DHAL_ECOLI	-0.172	0.534
sp|P0AG00|WZZE_ECOLI	-0.372	0.072
sp|P0AAG3|GLTL_ECOLI	0.496	0.03
sp|P63228|GMHBB_ECOLI	-0.005	0.178
sp|P28631|HOLB_ECOLI	0.256	0.312
sp|P37645|YHJG_ECOLI	2.27	6.356e-07
sp|P00887|AROH_ECOLI	-0.12	0.433
sp|P25745|MNMA_ECOLI	-0.396	5.733e-05
sp|P21338|RNI_ECOLI	0.06	0.985
sp|P15067|GLGX_ECOLI	0.987	9.841e-07
sp|P63177|RLMB_ECOLI	-0.069	0.917
sp|P0A959|ALAA_ECOLI	0.536	0.0005904
sp|P23721|SERC_ECOLI	-0.652	2.22e-16
sp|P0A821|SELA_ECOLI	-0.319	0.037
sp|Q46893|ISPD_ECOLI	0.968	0.0001111
sp|P0AE85|CPXP_ECOLI	0.422	0.038
sp|P13009|METH_ECOLI	-0.651	0.0
sp|P0A8E7|YAJQ_ECOLI	0.049	0.212
sp|P0AG24|SPOT_ECOLI	0.521	0.022
sp|P0ACB4|HEMG_ECOLI	1.136	1.096e-10
sp|P75876|RLMI_ECOLI	-0.496	0.006
sp|P0AC86|PHSG_ECOLI	0.946	5.632e-09
sp|P00864|CAPP_ECOLI	-0.518	0.0
sp|P0A7R5|RS10_ECOLI	-0.39	0.0003201
sp|P0AEZ9|MOAB_ECOLI	0.437	7.941e-07
sp|P0AAB8|USPD_ECOLI	0.729	0.01
sp|P0ACX3|YDHR_ECOLI	0.566	3.238e-05
sp|P39176|ERFK_ECOLI	1.436	4.943e-10
sp|P0A8J4|YBED_ECOLI	0.237	0.039
sp|P0ABA4|ATPD_ECOLI	0.093	0.058
sp|P0A6X1|HEM1_ECOLI	0.304	0.292
sp|P00562|AK2H_ECOLI	-0.395	2.096e-07
