protein	log2FC	p-val
sp|P0A6K3|DEF_ECOLI	-0.256	0.2
sp|P0A9C3|GALM_ECOLI	-0.11	0.123
sp|P0A6L4|NANA_ECOLI	1.152	4.009e-06
sp|P0A988|DPO3B_ECOLI	-0.005	0.437
sp|P0ABB4|ATPB_ECOLI	0.447	8.216e-15
sp|P0AG86|SECB_ECOLI	0.463	0.0003717
sp|P0AGK4|YHBY_ECOLI	0.397	0.023
sp|P0A6F1|CARA_ECOLI	0.217	0.0009277
sp|P00550|PTM3C_ECOLI	0.788	1.818e-11
sp|P23894|HTPX_ECOLI	0.506	0.122
sp|P0AD57|ISPB_ECOLI	-0.011	0.854
sp|P32695|DUSA_ECOLI	0.098	0.759
sp|P45955|CPOB_ECOLI	-0.127	0.239
sp|P08957|T1MK_ECOLI	0.505	4.73e-06
sp|P13029|KATG_ECOLI	0.692	0.0
sp|P02943|LAMB_ECOLI	3.171	4.439e-13
sp|P17952|MURC_ECOLI	-0.227	0.12
sp|P0ACN7|CYTR_ECOLI	-0.442	0.422
sp|P0A738|MOAC_ECOLI	-0.228	0.116
sp|P26365|AMIB_ECOLI	-0.16	0.646
sp|P0A8M3|SYT_ECOLI	-0.078	0.254
sp|P0AF50|YJBR_ECOLI	0.553	0.005
sp|P06971|FHUA_ECOLI	-0.25	5.089e-05
sp|P0C8J8|GATZ_ECOLI	1.871	0.0
sp|P0A8N3|SYK1_ECOLI	-0.204	7.325e-05
sp|P0ABA0|ATPF_ECOLI	0.457	2.924e-06
sp|P76002|PLIG_ECOLI	0.499	0.008
sp|P0AEN1|FRE_ECOLI	0.558	6.98e-05
sp|P0ACC7|GLMU_ECOLI	-0.086	0.275
sp|P00893|ILVI_ECOLI	-0.358	0.0002226
sp|P0ADP2|YIGI_ECOLI	-0.237	0.107
sp|P33232|LLDD_ECOLI	0.782	1.008e-07
sp|P06996|OMPC_ECOLI	0.052	0.494
sp|P0A9T8|YBBA_ECOLI	0.165	0.782
sp|P0A9S5|GLDA_ECOLI	0.389	0.062
sp|P06999|PFKB_ECOLI	-0.257	0.009
sp|P0AAV4|PXPB_ECOLI	1.146	0.0003914
sp|P0AG59|RS14_ECOLI	0.352	0.058
sp|P0A7I7|RIBA_ECOLI	-0.251	0.168
sp|P0AC59|GLRX2_ECOLI	0.22	0.522
sp|P39321|TAMB_ECOLI	-0.333	0.07
sp|P0A903|BAMC_ECOLI	-0.166	0.044
sp|P68739|NFI_ECOLI	-0.04	0.831
sp|P29745|PEPT_ECOLI	0.193	0.144
sp|P76027|OPPD_ECOLI	0.525	0.042
sp|P22259|PCKA_ECOLI	1.957	0.0
sp|P63386|MLAF_ECOLI	-0.087	0.814
sp|P24215|UXUA_ECOLI	1.344	1.177e-14
sp|P68919|RL25_ECOLI	-0.107	0.324
sp|P13445|RPOS_ECOLI	-0.272	0.217
sp|P0ACR9|MPRA_ECOLI	-0.025	0.699
sp|P75864|RLMKL_ECOLI	-0.065	0.889
sp|P60664|HIS6_ECOLI	0.102	0.533
sp|P76569|YFGD_ECOLI	-0.524	0.009
sp|P0A821|SELA_ECOLI	-0.278	0.0006568
sp|P16676|CYSA_ECOLI	0.743	3.29e-10
sp|P05852|TSAD_ECOLI	0.349	0.257
sp|P0ABU2|YCHF_ECOLI	-0.002	0.882
sp|P0A9R7|FTSE_ECOLI	-0.297	0.225
sp|P21499|RNR_ECOLI	-0.318	6.95e-06
sp|P12996|BIOB_ECOLI	0.58	0.0008627
sp|P62615|ISPE_ECOLI	0.66	0.0008413
sp|P37615|YHHM_ECOLI	-0.153	0.417
sp|P0AEY5|MDAB_ECOLI	-0.121	0.263
sp|P37613|PANZ_ECOLI	0.549	0.014
sp|P64554|QUEE_ECOLI	0.209	0.221
sp|P06610|BTUE_ECOLI	0.016	0.922
sp|P0AFH8|OSMY_ECOLI	-0.766	2.376e-10
sp|P0A9W6|IBAG_ECOLI	0.194	0.418
sp|P33224|AIDB_ECOLI	0.159	0.507
sp|P0ACP7|PURR_ECOLI	0.029	0.308
sp|P0ADB1|OSME_ECOLI	0.405	0.017
sp|P0A8A0|YEBC_ECOLI	0.131	0.781
sp|P0A6H1|CLPX_ECOLI	-0.321	0.0002129
sp|P75791|YBIU_ECOLI	-0.536	0.0009265
sp|P23878|FEPC_ECOLI	-0.691	0.006
sp|P75874|YCCU_ECOLI	0.11	0.221
sp|P04994|EX7L_ECOLI	0.03	0.906
sp|P19926|AGP_ECOLI	1.317	5.707e-14
sp|P0AEH1|RSEP_ECOLI	-0.002	1.0
sp|P41409|RIHA_ECOLI	1.078	1.997e-09
sp|P23909|MUTS_ECOLI	-0.19	0.129
sp|P05637|APAH_ECOLI	0.143	0.404
sp|P76038|PUUD_ECOLI	-0.434	0.059
sp|P0AF18|NAGA_ECOLI	0.568	3.729e-05
sp|P0AAC8|ISCA_ECOLI	-0.583	0.0003876
sp|P0A6E4|ASSY_ECOLI	-0.115	0.444
sp|P0AEA8|CYSG_ECOLI	0.26	0.42
sp|P0A9L8|P5CR_ECOLI	0.197	0.083
sp|P0AA31|YEDF_ECOLI	1.3	0.001
sp|P0AFI2|PARC_ECOLI	-0.017	0.946
sp|P00861|DCDA_ECOLI	-0.067	0.865
sp|P64540|YFCL_ECOLI	-0.047	0.592
sp|P11875|SYR_ECOLI	0.242	0.001
sp|P0A6W5|GREA_ECOLI	0.132	0.399
sp|P43329|HRPA_ECOLI	0.029	0.619
sp|P0A8R0|RRAA_ECOLI	0.392	0.007
sp|P0A8F4|URK_ECOLI	-0.188	0.109
sp|P28306|MLTG_ECOLI	0.431	0.025
sp|P31455|YIDR_ECOLI	-0.059	1.0
sp|P0AFU8|RISA_ECOLI	-0.441	0.014
sp|P0ABC7|HFLK_ECOLI	0.32	5.741e-05
sp|P0A812|RUVB_ECOLI	-0.097	0.486
sp|P0A7Z0|RPIA_ECOLI	0.095	0.639
sp|P0A9B2|G3P1_ECOLI	-0.583	4.441e-16
sp|P0ADU2|YGIN_ECOLI	-0.455	0.018
sp|P0C960|EMTA_ECOLI	0.728	0.029
sp|P03018|UVRD_ECOLI	-0.041	0.884
sp|P36683|ACNB_ECOLI	2.058	0.0
sp|P0AFL3|PPIA_ECOLI	0.466	0.001
sp|P0AA99|YAFK_ECOLI	-0.489	0.119
sp|P37440|UCPA_ECOLI	1.253	6.135e-09
sp|P46837|YHGF_ECOLI	-0.245	0.005
sp|P0AES0|GSP_ECOLI	-1.233	9.571e-11
sp|P0C054|IBPA_ECOLI	0.97	1.28e-05
sp|P22256|GABT_ECOLI	0.582	6.365e-05
sp|P0A8I3|YAAA_ECOLI	-0.085	0.296
sp|P42588|PAT_ECOLI	-0.286	0.142
sp|P00962|SYQ_ECOLI	-0.116	0.038
sp|P13000|BIOD1_ECOLI	-0.414	0.022
sp|P0AE48|YTFP_ECOLI	-0.212	0.244
sp|P0A6C8|ARGB_ECOLI	0.263	0.003
sp|P0ACV8|YMJA_ECOLI	0.487	0.156
sp|P39199|PRMB_ECOLI	-0.1	0.363
sp|P07650|TYPH_ECOLI	-0.586	1.375e-05
sp|P13001|BIOH_ECOLI	-0.142	0.765
sp|P76015|DHAK_ECOLI	-0.148	0.177
sp|P07604|TYRR_ECOLI	-0.036	0.86
sp|P0A6X3|HFQ_ECOLI	0.011	0.163
sp|P0ABH7|CISY_ECOLI	0.451	9.976e-09
sp|P61889|MDH_ECOLI	0.369	3.528e-06
