protein	log2FC	p-val
sp|P0ADI4|ENTB_ECOLI	-0.535	0.0001591
sp|P77150|PDXY_ECOLI	0.499	0.047
sp|P00547|KHSE_ECOLI	-0.345	0.008
sp|P04079|GUAA_ECOLI	-0.245	0.0001129
sp|P03007|DPO3E_ECOLI	-0.096	0.914
sp|P76015|DHAK_ECOLI	-0.265	0.042
sp|P0AC81|LGUL_ECOLI	-0.063	0.537
sp|P60422|RL2_ECOLI	-0.192	0.003
sp|P02918|PBPA_ECOLI	-0.26	0.093
sp|P0AAT6|IOJAP_ECOLI	-0.838	0.003
sp|P0AC30|FTSX_ECOLI	-0.16	0.5
sp|P32680|YJAG_ECOLI	-0.53	0.009
sp|P0AED7|DAPE_ECOLI	0.223	0.185
sp|P66817|DIAA_ECOLI	0.057	0.793
sp|P0ABH0|FTSA_ECOLI	0.141	0.472
sp|P0A7A9|IPYR_ECOLI	-0.131	0.228
sp|P52096|YAER_ECOLI	0.217	0.293
sp|P0AD27|YEJM_ECOLI	0.298	0.076
sp|P0AET2|HDEB_ECOLI	2.366	1.618e-11
sp|P69428|TATA_ECOLI	-0.241	0.059
sp|P77552|YDHQ_ECOLI	-0.094	0.617
sp|P24188|YCEA_ECOLI	-0.807	1.006e-05
sp|P0A6U3|MNMG_ECOLI	-0.359	0.001
sp|P0AA57|YOBA_ECOLI	0.692	0.106
sp|P42593|FADH_ECOLI	0.279	0.014
sp|P0A9A9|FUR_ECOLI	-0.105	0.422
sp|P0AG27|YIBN_ECOLI	-0.552	4.733e-06
sp|P62517|OPGH_ECOLI	0.162	0.152
sp|P07012|RF2_ECOLI	0.201	0.033
sp|P13482|TREA_ECOLI	-0.006	0.91
sp|P66948|BEPA_ECOLI	0.526	0.002
sp|P0ABK5|CYSK_ECOLI	0.343	1.058e-09
sp|P0A6U8|GLGA_ECOLI	0.601	3.45e-06
sp|P77795|YDCT_ECOLI	-0.541	0.005
sp|P0AAI9|FABD_ECOLI	0.397	0.006
sp|P64585|YQJE_ECOLI	-0.121	0.445
sp|P06987|HIS7_ECOLI	-0.539	4.081e-07
sp|P78055|FSAA_ECOLI	0.345	0.22
sp|P09551|ARGT_ECOLI	-0.428	2.855e-09
