P0C079	relB
hsdR	hsdR
P0C077	relE
hsdS	hsdS
P76172	ynfD
P76173	ynfH
P76170	ynfB
P77488	dxs
P76157	ynfN
P77489	paoC
P76158	rzpQ
P76159	rrrQ
P76154	ydfK
P77485	cusS
P76155	tfaQ
P76156	ydfO
P33024	psuT
P33025	psuG
P33022	rihB
P33029	yeiQ
P33026	setB
Q47158	yafP
P33030	yeiR
P76160	ydfR
hscA	hscA
P76161	quuQ
P76162	ydfU
P77493	ydjH
P76163	ydfV
P77494	hokB
hscB	hscB
P76186	ydhK
P76187	ydhF
P33013	dacD
P33014	yeeD
P10378	entE
P33011	yeeA
P0C054	ibpA
P33012	sbmC
P33018	yeiG
P33015	yeeE
P09391	glpG
P33020	yeiI
P33021	nupX
P09394	glpQ
P0C058	ibpB
P76193	ynhG
P76194	sufE
P76196	ydiL
P76190	mepH
P76192	ydhV
P76175	clcB
P76176	ydgD
P76177	ydgH
P36995	cspB
P0C066	mltC
sseA	sseA
sseB	sseB
P10384	fadL
P36999	rlmA
P76182	rsxD
P76185	ydhJ
sbcB	sbcB
P76180	ydgK
P77455	paaZ
P76127	bdm
P76121	yddH
P76122	yddJ
P77453	hyfJ
P76123	yddK
P77454	glsA1
Q1RAN8	araG
P76128	ddpA
P76129	dosP
B7LRZ7	
P00946	manA
P39187	ytfJ
P00944	xylA
B7LRZ1	
P77460	ybcY
P39180	flu
P76113	curA
P77444	sufS
P77445	eutE
P76114	mcbR
P76115	yncD
Q8X9J6	ycdX
P76116	yncE
P76111	ydcZ
P76112	mnaT
P76117	yncG
P76118	yncH
P76119	yncI
A0A140NDS5	yafV
P00936	cyaA
P00934	thrC
P00935	metB
P39177	uspG
P39176	erfK
P39173	yeaD
P39172	znuA
tehB	tehB
P76146	yneE
P76147	dgcF
P76148	yneG
P76149	sad
P77473	pdeB
P76142	lsrB
P76143	lsrF
P77475	yqaB
P76145	tam
Q8FF72	purM
Q8FF70	ppk
REV__B1LLV3	
REV__P33784	
P39163	chaC
P00968	carB
Gene names	Gene names
P39165	ychO
P39160	uxuB
P00963	asnA
P77481	ycjV
P76150	yneK
P00961	glyS
P39161	uxuR
P00962	glnS
P00960	glyQ
B7LS91	
P76135	ydeO
P77467	paaG
P76136	safA
P76137	ydeT
P77468	sfmD
P76138	yneL
P77463	ddpC
P76134	ydeM
Q1RAQ8	argS
P00959	metG
P00956	ileS
P00957	alaS
P00954	trpS
P76141	lsrR
uhpT	uhpT
rpiB	rpiB
P77414	wcaA
rpiA	rpiA
hslV	hslV
hslU	hslU
P52119	ratB
P77416	hyfD
P36943	eaeH
B7LS75	
uhpA	uhpA
oxaA	oxaA
hslO	hslO
P36938	pgm
P77400	ybaT
P52124	yfjI
P52125	yfjJ
P36937	kdpF
P77402	ydiP
P52123	yfjH
Q1RAS6	znuC
P36930	gatR
P77409	ydhU
P52128	yfjM
P52129	rnlA
P52126	yfjK
P52127	yfjL
P09348	motA
Q1RAS0	yebC
P52135	yfjT
P77433	ykgG
P76102	insQ
udp	udp
Q1RAT6	purT
P76103	ydcO
P77434	alaC
B1LEG3	mdoB
P52133	yfjR
P76104	rlhA
P52134	ypjK
P52131	yfjP
dcd	dcd
P52132	yfjQ
P76100	ydcK
P36929	rsmB
P36928	yegD
P52130	rnlB
P77432	lsrK
P40191	pdxK
B7LS48	rpsL
B7LRS8	rpmC
B7LRS9	rplP
B7LS49	tusB
P52139	yfjX
P76106	hicA
P77437	hyfF
P76108	ydcS
P77439	fryA
P52138	yfjW
dcm	dcm
dcp	dcp
B7LRT3	rplB
B7LRT1	rplV
B7LRT2	rpsS
B7M3T7	queC
B7LS58	kefG
B7LRT5	rplD
B7LRT0	rpsC
Q8X9M0	argG
P77423	hyfH
P77425	allC
