protein	log2FC	p-val
sp|P77171|YDCI_ECOLI	1.16	0.0002082
sp|P60472|UPPS_ECOLI	-0.626	0.024
sp|P21165|PEPQ_ECOLI	-0.169	0.207
sp|P69913|CSRA_ECOLI	1.308	0.0005002
sp|P0A7J0|RIBB_ECOLI	0.569	0.004
sp|P30843|BASR_ECOLI	-0.058	0.943
sp|P0A8F0|UPP_ECOLI	0.971	1.23e-13
sp|P27848|YIGL_ECOLI	0.201	0.823
sp|P0AEZ1|METF_ECOLI	0.249	0.058
sp|P39334|BDCR_ECOLI	0.139	0.466
sp|P33224|AIDB_ECOLI	-2.276	1.294e-05
sp|P0AC41|SDHA_ECOLI	0.034	0.797
sp|P06999|PFKB_ECOLI	-0.601	8.985e-07
sp|P76113|CURA_ECOLI	0.469	0.002
sp|P0ACA7|GSTB_ECOLI	0.582	0.002
sp|P07109|HISP_ECOLI	-0.278	0.238
sp|P0A9S5|GLDA_ECOLI	-1.067	0.0001705
sp|P75874|YCCU_ECOLI	0.339	0.033
sp|P68699|ATPL_ECOLI	0.135	0.572
sp|P15042|DNLJ_ECOLI	-0.065	0.958
sp|P15067|GLGX_ECOLI	-0.358	0.055
sp|P0A7A5|PIMT_ECOLI	-1.494	1.245e-06
sp|P0A7T3|RS16_ECOLI	0.407	0.002
sp|P25745|MNMA_ECOLI	0.104	0.129
sp|P76145|TAM_ECOLI	0.349	0.422
sp|P24554|RADA_ECOLI	-0.486	0.005
sp|Q46893|ISPD_ECOLI	-1.141	2.316e-05
sp|P21893|RECJ_ECOLI	-0.205	0.727
sp|P39176|ERFK_ECOLI	-0.659	0.003
sp|P0C018|RL18_ECOLI	0.145	0.13
sp|P10443|DPO3A_ECOLI	-0.791	0.047
sp|P69441|KAD_ECOLI	0.174	0.009
sp|P0A7A2|GPMB_ECOLI	0.556	0.001
sp|P26365|AMIB_ECOLI	-1.001	1.798e-06
sp|P17169|GLMS_ECOLI	-0.285	0.0005639
sp|P0AEJ2|ENTC_ECOLI	-0.794	0.008
sp|P0ADN2|YIFE_ECOLI	-0.623	1.034e-06
sp|P05637|APAH_ECOLI	-0.163	0.499
sp|P07395|SYFB_ECOLI	0.132	0.013
sp|P0ABF6|CDD_ECOLI	-1.076	6.02e-09
sp|P0A7M2|RL28_ECOLI	-0.044	0.968
sp|P0AFT2|YECS_ECOLI	0.259	0.237
sp|P0AG24|SPOT_ECOLI	-1.199	1.044e-08
sp|P11880|MURF_ECOLI	-0.508	0.01
sp|P0C079|RELB_ECOLI	0.102	0.75
sp|P04391|OTC1_ECOLI	1.396	7.505e-14
sp|P30847|BAES_ECOLI	-0.672	0.08
sp|P0A7T7|RS18_ECOLI	0.379	0.021
sp|P78061|PUUA_ECOLI	0.393	0.22
sp|P0AGJ9|SYY_ECOLI	-0.172	0.092
sp|P31130|YDEI_ECOLI	0.333	0.121
sp|P77444|SUFS_ECOLI	-0.194	0.239
sp|P11454|ENTF_ECOLI	-0.065	0.998
sp|P27837|YIFK_ECOLI	-1.242	0.039
sp|P77258|NEMA_ECOLI	0.558	0.004
sp|P33030|YEIR_ECOLI	-0.745	3.814e-05
sp|P0A6V1|GLGC_ECOLI	-0.333	0.011
sp|P06989|HIS2_ECOLI	0.219	0.201
sp|P0DMC7|RCSB_ECOLI	0.43	0.032
sp|P0A8I3|YAAA_ECOLI	0.271	0.043
sp|P07650|TYPH_ECOLI	-0.796	1.835e-06
sp|P77293|GTRB_ECOLI	0.087	0.512
sp|P64596|YRAP_ECOLI	-0.175	0.328
sp|P76341|HIUH_ECOLI	0.899	0.01
sp|P30178|HCXB_ECOLI	0.896	1.209e-08
sp|P04693|TYRB_ECOLI	0.596	2.678e-06
sp|P0AB28|YCED_ECOLI	-0.19	0.83
sp|P0AB14|YCCJ_ECOLI	0.044	0.674
sp|P69811|PTFAH_ECOLI	-1.263	6.468e-13
sp|P0A7S9|RS13_ECOLI	0.034	0.225
sp|P76194|SUFE_ECOLI	-0.302	0.449
sp|P0A8W8|YFBU_ECOLI	-0.738	5.448e-07
sp|P23865|PRC_ECOLI	0.045	0.459
sp|P18196|MINC_ECOLI	-0.269	0.29
sp|P25437|FRMA_ECOLI	-0.421	0.18
sp|P0AEN4|FTSL_ECOLI	0.0006532	0.951
sp|P06993|MALT_ECOLI	-0.223	1.0
sp|P0AEQ6|GLNP_ECOLI	-1.577	1.614e-09
sp|P16659|SYP_ECOLI	0.177	0.355
sp|P77239|CUSB_ECOLI	0.218	0.174
sp|P11446|ARGC_ECOLI	-0.105	0.75
sp|P0ADY3|RL14_ECOLI	0.165	0.167
sp|P22106|ASNB_ECOLI	-0.388	0.002
sp|P37647|KDGK_ECOLI	-0.425	0.029
sp|P26648|FTSP_ECOLI	-1.523	0.007
sp|P0A8D0|NRDR_ECOLI	-0.456	0.015
sp|P37744|RMLA1_ECOLI	0.273	0.008
sp|P07623|METAS_ECOLI	1.132	6.899e-13
sp|P0AGA2|SECY_ECOLI	-0.534	0.001
sp|P77330|BORD_ECOLI	-0.315	0.348
sp|P0A6T5|GCH1_ECOLI	1.583	0.0
sp|P26646|ACUI_ECOLI	-0.112	0.573
sp|P0AFP4|YBBO_ECOLI	-0.165	0.83
sp|P0AED5|UVRY_ECOLI	-0.825	0.001
sp|P0A9F6|GCVA_ECOLI	-1.634	8.119e-06
sp|P75780|FIU_ECOLI	0.734	5.26e-07
sp|P33644|POLOX_ECOLI	-0.591	0.342
sp|P15047|ENTA_ECOLI	0.11	0.864
sp|P64585|YQJE_ECOLI	-1.913	5.796e-06
sp|P21367|YCAC_ECOLI	0.252	0.318
sp|P27833|WECE_ECOLI	-0.419	0.122
sp|P0A786|PYRB_ECOLI	0.248	0.006
sp|P31658|HCHA_ECOLI	-1.852	7.309e-12
sp|P0A720|KTHY_ECOLI	-0.839	0.002
sp|P43671|PQIB_ECOLI	-1.195	8.571e-07
sp|P21888|SYC_ECOLI	0.004	0.973
sp|P16456|SELD_ECOLI	-0.189	0.072
sp|P63284|CLPB_ECOLI	-1.689	0.0
sp|P00959|SYM_ECOLI	-0.014	0.786
sp|P15723|DGTP_ECOLI	-0.496	0.331
sp|P09373|PFLB_ECOLI	-0.049	0.566
sp|P31475|YIEP_ECOLI	0.032	0.847
sp|P23830|PSS_ECOLI	-0.171	0.332
sp|P0A8M0|SYN_ECOLI	-0.417	5.159e-06
sp|P37751|WBBK_ECOLI	-0.041	0.923
sp|P75876|RLMI_ECOLI	0.252	0.142
sp|P0A910|OMPA_ECOLI	0.454	9.04e-07
sp|P23886|CYDC_ECOLI	-0.582	0.007
sp|P76116|YNCE_ECOLI	-0.067	0.659
sp|P75960|NPD_ECOLI	-0.133	0.616
sp|P26612|AMY2_ECOLI	1.345	3.221e-05
sp|P00895|TRPE_ECOLI	-0.265	0.133
sp|P42588|PAT_ECOLI	-0.818	0.039
sp|P05791|ILVD_ECOLI	0.257	0.005
sp|P0A7D4|PURA_ECOLI	0.695	1.761e-12
sp|P20099|BISC_ECOLI	0.425	0.137
sp|P0AFM6|PSPA_ECOLI	0.397	0.006
sp|P77302|DGCM_ECOLI	-0.766	0.015
sp|P0A8A4|PSRP_ECOLI	-0.534	0.013
sp|P27302|TKT1_ECOLI	0.444	0.0001061
sp|P0AFC3|NUOA_ECOLI	-0.048	0.961
sp|P37330|MASZ_ECOLI	0.175	0.073
sp|P15373|PRLF_ECOLI	-1.0	0.0002596
sp|P10121|FTSY_ECOLI	0.505	1.983e-07
sp|P08179|PUR3_ECOLI	0.283	0.087
sp|P09832|GLTD_ECOLI	0.703	2.012e-12
sp|P10908|UGPQ_ECOLI	-0.521	0.084
sp|P08395|SPPA_ECOLI	-0.172	0.734
sp|P77376|YDGJ_ECOLI	0.679	0.01
sp|P33570|TKT2_ECOLI	-0.188	0.894
sp|P0ABU5|ELBB_ECOLI	-0.102	0.893
sp|P0A9W6|IBAG_ECOLI	0.479	0.426
sp|P69795|PTQB_ECOLI	0.663	0.018
sp|P0A962|ASPG1_ECOLI	0.385	0.069
sp|P75914|YCDX_ECOLI	-0.199	0.855
sp|P39831|YDFG_ECOLI	0.104	0.924
sp|P15770|AROE_ECOLI	-0.223	0.153
sp|P0A6Y8|DNAK_ECOLI	-1.028	0.0
sp|P77488|DXS_ECOLI	0.125	0.781
sp|P0AGE9|SUCD_ECOLI	0.325	0.0005813
